species,,Life stage collectetd,notes,G= Gametophyte,,
acanthophora spicifera,,Either - Isomorphic,,S - Sporphyte,,
acetabularia acetabulum,,Diplontic,,Either - Isomorphic,,
acetabularia caliculus,,Diplontic,,D - diploid,,
acetabularia crenulata,,Diplontic,,Tetrasporophyte,,
acetabularia major,,Diplontic,,,,
acrosiphonia coalita,,Gametophyte,,,,
acrosiphonia saxatilis,,Gametophyte,,,,
alaria marginata,,Sporophyte,,,,
amansia rhodantha,,Tetrasporophyte,https://uses.plantnet-project.org/en/Melanamansia_glomerata_(PROSEA),,,
asparagopsis taxiformis,,Gametophyte,algae base,,,
avrainvillea amadelpha,,Diplontic,algae base,,,
boodlea composita,,Either - Isomorphic,but poorly studied algal base ,,,
bossiella orbigniana,,Either - Isomorphic,,,,
botryocladia occidentalis,,Unknown LC,,,,
bryopsis plumosa,,Sporophyte,,,,
calliarthron tuberculosum,,Either - Isomorphic,,,,
caulerpa lentillifera,,Diplontic,"https://en.wikipedia.org/wiki/Caulerpa#:~:text=Earlier%20research%20revealed%20that%20Caulerpa,vary%20within%20and%20between%20species.",,,
caulerpa racemosa,,Diplontic,,,,
caulerpa taxifolia,,Diplontic,,,,
ceramium virgatum,,Either - Isomorphic,,,,
chaetomorpha aerea,,Either - Isomorphic,,,,
chondracanthus canaliculatus,,Either - Isomorphic,,,,
chondracanthus exasperatus,,Either - Isomorphic,,,,
cladophora columbiana,,Either - Isomorphic,,,,
codium fragile,,Diplontic,,,,
codium harveyi,,Diplontic,,,,
codium setchellii,,Diplontic,,,,
codium tomentosum,,Diplontic,,,,
colpomenia sinuosa,,Gametophyte,"https://invasions.si.edu/nemesis/species_summary/-731#:~:text=General%3A,producing%20male%20or%20female%20gametes.",,,
colpomenia tuberculata,,Gametophyte,,,,
corallina chilensis,,Either - Isomorphic,,,,
corallina vancouveriensis,,Either - Isomorphic,,,,
costaria costata,,Sporophyte,,,,
cryptopleura ruprechtiana,,Either - Isomorphic,this was spelled incorrectly in col A.,,,
derbesia marina,,Sporophyte,https://www.algaebase.org/search/genus/detail/?genus_id=32846,,,
desmarestia ligulata,,Sporophyte,,,,
dictyopteris undulata,,Either - Isomorphic,,,,
dictyota coriacea,,Either - Isomorphic,,,,
durvillaea antarctica,,Diplontic,,,,
ecklonia radiata,,Sporophyte,,,,
ectocarpus siliculosus,,Either - Isomorphic,,,,
egregia menziessi,,Sporophyte,,,,
endocladia muricata,,Either - Isomorphic,,,,
fucus distichus,,Diplontic,,,,
galaxaura rugosa,,Tetrasporophyte,tetraspores are 'hairy' with fine filaments - algae base,,,
gelidium robustum,,Either - Isomorphic,,,,
gracilaria longissimi,,Either - Isomorphic,https://www.researchgate.net/figure/Summary-of-Gracilaria-life-cycle_fig8_248398767,,,
